"","V1"
"1",0.666958316124572
"2",0.666958316124572
"3",0.753743893422846
"4",0.860142155674867
"5",0.860142155674867
"6",0.905222577627043
"7",0.905222577627043
"8",0.905222577627043
"9",0.880871974573533
"10",0.935033974081363
"11",0.921005723333799
"12",0.921005723333799
"13",0.834350419533768
"14",0.834350419533768
"15",0.834350419533768
"16",0.834350419533768
"17",0.761839708590911
"18",0.770787502656092
"19",0.770787502656092
"20",0.690152760720282
"21",0.690152760720282
"22",0.861222581274856
"23",0.861222581274856
"24",0.623714720464496
"25",0.623714720464496
"26",0.623714720464496
"27",0.854623192810308
"28",0.854623192810308
"29",0.854623192810308
"30",0.854623192810308
"31",0.8451269884936
"32",0.865885119291435
"33",0.865885119291435
"34",0.933821073011982
"35",0.933821073011982
"36",0.846733504169118
"37",0.846733504169118
"38",0.846733504169118
"39",0.846733504169118
"40",0.846733504169118
"41",0.846733504169118
"42",0.846733504169118
"43",0.801666878092016
"44",0.844574974017899
"45",0.856641662325714
"46",0.856641662325714
"47",0.856641662325714
"48",0.877640442483147
"49",0.877640442483147
"50",0.694251992045326
"51",0.694251992045326
"52",0.636564388471741
"53",0.636564388471741
"54",0.776102287229909
"55",0.783310063375622
"56",0.880022841412351
"57",0.880022841412351
"58",0.880022841412351
"59",0.880022841412351
"60",0.880022841412351
"61",0.866571878750094
"62",0.926854045712102
"63",0.845154525782949
"64",0.845154525782949
"65",0.845154525782949
"66",0.845154525782949
"67",0.845154525782949
"68",0.938998590838144
"69",0.816161515262283
"70",0.816161515262283
"71",0.690676255842959
"72",0.5744817279012
"73",0.733709332374621
"74",0.733709332374621
"75",0.711787584831529
"76",0.846256121103454
"77",0.861203040536498
"78",0.861203040536498
"79",0.861203040536498
"80",0.818202479590417
"81",0.818202479590417
"82",0.818202479590417
"83",0.818202479590417
"84",0.805741782692841
"85",0.805741782692841
"86",0.805741782692841
"87",0.951173440751382
"88",0.927644428065106
"89",0.927644428065106
"90",0.77893386503945
"91",0.77893386503945
"92",0.751310334341125
"93",0.751310334341125
"94",0.874122037388482
"95",0.832615797639694
"96",0.843254718834108
"97",0.843254718834108
"98",0.843254718834108
"99",0.843254718834108
"100",0.850004221813922
"101",0.850004221813922
"102",0.944444256506844
"103",0.94103816657221
"104",0.898887716607695
"105",0.738719141367594
"106",0.738719141367594
"107",0.763456544291795
"108",0.763456544291795
"109",0.763456544291795
"110",0.763456544291795
"111",0.763456544291795
"112",0.681799678607252
"113",0.681799678607252
"114",0.681799678607252
"115",0.681799678607252
"116",0.681799678607252
"117",0.738520404876908
"118",0.923595212143448
"119",0.94255410591625
"120",0.94255410591625
"121",0.892369063480629
"122",0.892369063480629
"123",0.892369063480629
"124",0.892393133312689
"125",0.849691578803516
"126",0.758643352361579
"127",0.758643352361579
"128",0.834816171776352
"129",0.578383498000298
"130",0.578383498000298
"131",0.578383498000298
"132",0.578768834200324
"133",0.613449948735622
"134",0.660849265245993
"135",0.852344340724882
"136",0.852344340724882
"137",0.931374659794443
"138",0.860861324056951
"139",0.860861324056951
"140",0.883055316146703
"141",0.883055316146703
"142",0.883055316146703
"143",0.850323688609139
"144",0.924122159274185
"145",0.926321073066369
"146",0.895501020997032
"147",0.686996586636681
"148",0.834870333231992
"149",0.834870333231992
"150",0.834870333231992
"151",0.834870333231992
"152",0.834870333231992
"153",0.748790210290412
"154",0.748790210290412
"155",0.748790210290412
"156",0.748790210290412
"157",0.748790210290412
"158",0.773385347340846
"159",0.773385347340846
"160",0.773385347340846
"161",0.860363700442748
"162",0.860363700442748
"163",0.730186443681036
"164",0.644609261127916
"165",0.734778258943545
"166",0.830930099066536
"167",0.830930099066536
"168",0.774595424483394
"169",0.765421240845538
"170",0.830260024766336
"171",0.830260024766336
"172",0.830260024766336
"173",0.90055525093286
"174",0.90055525093286
"175",0.581861672650098
"176",0.581861672650098
"177",0.723918420572021
"178",0.723918420572021
"179",0.531646175053932
"180",0.617295312111822
"181",0.665895078083694
"182",0.665895078083694
"183",0.59027777033695
"184",0.621921658059275
"185",0.621921658059275
"186",0.818240276156297
"187",0.818240276156297
"188",0.818240276156297
"189",0.818240276156297
"190",0.769338187309813
"191",0.921154736318697
"192",0.921154736318697
"193",0.921154736318697
"194",0.921154736318697
"195",0.936015711435631
"196",0.855892779807508
"197",0.855892779807508
"198",0.596271516842941
"199",0.596271516842941
"200",0.596271516842941
"201",0.596271516842941
"202",0.596271516842941
"203",0.673618446356491
"204",0.673618446356491
"205",0.693096350981252
"206",0.693096350981252
"207",0.693096350981252
"208",0.693096350981252
"209",0.693096350981252
"210",0.851177735072039
"211",0.931622192817059
"212",0.771866718411239
"213",0.771866718411239
