"","x"
"1",0.21259842519685
"2",0.0787589498806683
"3",0.100227790432802
"4",0.112068965517241
"5",0.0982248520710059
"6",0.091044037605146
"7",0.269726247987118
"8",0
"9",0.154440154440154
"10",0.373983739837398
"11",0.25207756232687
"12",0.153718091009989
"13",0.145669291338583
"14",0.0132978723404255
"15",0.0947368421052632
"16",0.124775583482944
"17",0.172859450726979
"18",0.19815668202765
"19",0.280539174389216
"20",0.299093655589124
"21",0.125226860254083
"22",0.191637630662021
"23",0.026694045174538
"24",0.130350194552529
"25",0.0699507389162562
"26",0.101468624833111
"27",0.0720461095100865
"28",0.120805369127517
"29",0.074293228139382
"30",0.0547112462006079
"31",0.0804780876494024
"32",0.0858747993579454
"33",0.111898016997167
"34",0.104181951577403
"35",0.224546722454672
"36",0.131034482758621
"37",0.0253353204172876
"38",0.137931034482759
"39",0.133640552995392
"40",0.191823899371069
"41",0.12221041445271
"42",0.0293427230046948
"43",0.107604017216643
"44",0.111195734958111
"45",0.183673469387755
"46",0.175792507204611
"47",0.281938325991189
"48",0.108221476510067
"49",0.0326086956521739
"50",0.0958904109589041
"51",0.157522123893805
"52",0.229965156794425
"53",0.17056856187291
"54",0.115115115115115
"55",0.252771618625277
"56",0.299651567944251
"57",0.155361050328228
"58",0.124183006535948
"59",0.240786240786241
"60",0.0715307582260372
"61",0.123232323232323
"62",0.079221681723419
"63",0
"64",0.0682730923694779
"65",0.0777777777777778
"66",0.0268336314847943
"67",0.0516499282639885
"68",0.0789473684210526
"69",0.0714801444043321
"70",0.121107266435986
"71",0.196153846153846
"72",0.0458715596330275
"73",0.115873015873016
"74",0.167224080267559
"75",0.232608695652174
"76",0.282091917591125
"77",0.0417777777777778
"78",0.101744186046512
"79",0.226393629124005
"80",0.13107822410148
"81",0.170580964153276
"82",0.129263913824057
"83",0.0959232613908873
"84",0.074438202247191
"85",0.0949935815147625
"86",0.096401028277635
"87",0.153664302600473
"88",0.168557536466775
"89",0.0825870646766169
"90",0.0769230769230769
"91",0.155331654072208
"92",0.151309408341416
"93",0.070048309178744
"94",0.180616740088106
"95",0.075381679389313
"96",0.0779065121853775
"97",0.0668498168498168
"98",0.172897196261682
"99",0
"100",0.176046176046176
"101",0.0449574726609964
"102",0.246710526315789
"103",0.297402597402597
"104",0.168224299065421
"105",0.0151515151515152
"106",0.0453808752025932
"107",0.106591865357644
"108",0.0902612826603325
"109",0.185227272727273
"110",0.119047619047619
"111",0.169547872340426
"112",0.202327663384064
"113",0.141450313339302
"114",0
"115",0
"116",0.101858224363386
"117",0.069204152249135
"118",0.0451745379876797
"119",0.178272980501393
"120",0.0208333333333333
"121",0.111394557823129
"122",0.189873417721519
"123",0.124852767962309
"124",0.164874551971326
"125",0.143053645116919
"126",0.0600985221674877
"127",0.314606741573034
"128",0.0733695652173913
"129",0.139366515837104
"130",0.0898550724637681
"131",0.0464824120603015
"132",0.12621359223301
"133",0.0585424133811231
"134",0.0487394957983193
"135",0.265536723163842
"136",0.0580865603644647
"137",0.0791027154663518
"138",0.063573883161512
"139",0.09375
"140",0.0945179584120983
"141",0.162162162162162
"142",0.175344563552833
"143",0.127589967284624
"144",0.0422125181950509
"145",0.0141592920353982
"146",0.0225442834138486
"147",0.0935960591133005
"148",0.0540540540540541
"149",0.0328253223915592
"150",0.0209923664122137
"151",0.0916334661354582
"152",0.0958579881656805
"153",0.0504322766570605
"154",0.122330097087379
"155",0.0584225900681597
"156",0.160175879396985
"157",0.0894117647058824
"158",0.0499058380414313
"159",0.0678260869565217
"160",0.0953846153846154
"161",0.105782792665726
"162",0.146699266503667
"163",0.0307692307692308
"164",0.256179775280899
"165",0.148091603053435
"166",0.236486486486486
"167",0.0566280566280566
"168",0.0952890792291221
"169",0.150903294367694
"170",0.102793296089385
"171",0.087431693989071
"172",0.0878787878787879
"173",0.0417112299465241
"174",0.0825921219822109
"175",0.122302158273381
"176",0.153846153846154
"177",0.0556149732620321
"178",0.109510086455331
"179",0.0282413350449294
"180",0.166208791208791
"181",0.0757927300850735
"182",0.0687898089171975
"183",0.0844686648501362
"184",0.0849673202614379
"185",0.0379746835443038
"186",0.086
"187",0.14874696847211
"188",0.129453681710214
"189",0.115583075335397
"190",0
"191",0.0261752136752137
"192",0.188564476885645
"193",0.09125
"194",0.0870712401055409
"195",0.176776429809359
"196",0.128686327077748
"197",0.288150807899461
"198",0.0895765472312704
"199",0.0648379052369077
"200",0.057542768273717
"201",0.13013698630137
"202",0.0801080108010801
"203",0.0715596330275229
"204",0.148954703832753
"205",0.149305555555556
"206",0.0385542168674699
"207",0.199211045364892
"208",0.0972388955582233
"209",0.101388888888889
"210",0.0594059405940594
"211",0
"212",0.0396419437340153
"213",0.021978021978022
"214",0.135188866799205
"215",0.179816513761468
"216",0.0680529300567108
"217",0.0705521472392638
"218",0.2
"219",0.158813263525305
"220",0.0604192355117139
"221",0.0698772426817753
"222",0.0723793677204659
"223",0.158629441624365
"224",0.0449640287769784
"225",0.0411025145067698
"226",0.141949152542373
"227",0.0972388955582233
"228",0.12888198757764
"229",0.080672268907563
"230",0.10016694490818
"231",0.167235494880546
"232",0.0806451612903226
"233",0.166666666666667
"234",0.156862745098039
"235",0.0926449787835926
"236",0.167206040992449
"237",0.121678321678322
"238",0.118867924528302
"239",0.0244399185336049
"240",0.0506108202443281
"241",0.0299500831946755
"242",0.051498127340824
"243",0.069453809844909
"244",0.0604142692750288
"245",0.150537634408602
"246",0.0824499411071849
"247",0.152073732718894
"248",0.149738219895288
"249",0.194214876033058
"250",0.122685185185185
"251",0
"252",0.146186440677966
"253",0.294232649071359
"254",0.142191142191142
"255",0.153502235469449
"256",0.320689655172414
"257",0.173170731707317
"258",0.223004694835681
"259",0.11716621253406
"260",0.543283582089552
"261",0.0720720720720721
"262",0.109229466553768
"263",0
"264",0
"265",0.12992700729927
"266",0.12284730195178
"267",0.0766016713091922
"268",0.0732940185341196
"269",0.0753623188405797
"270",0.165537998495109
"271",0.138613861386139
"272",0.042486231313926
"273",0.191536748329621
"274",0.239080459770115
"275",0.0895334174022699
"276",0.110635260528194
"277",0.152470187393526
"278",0.10016694490818
"279",0.027681660899654
"280",0.115479115479115
"281",0.197154471544715
"282",0.0276497695852535
"283",0.34409594095941
"284",0.102941176470588
"285",0.16338880484115
"286",0.208755760368664
"287",0.160087719298246
