"","count.201001","count.201002","count.201003","count.201004","count.201005","count.201006","count.201007","count.201008","count.201009","count.201010","count.201011","count.201012","count.201101","count.201102","count.201103","count.201104","count.201105","count.201106","count.201107","count.201108","count.201109","count.201110","count.201111","count.201112","count.201201","count.201202","count.201203","count.201204","count.201205","count.201206","count.201207","count.201208","count.201209","count.201210","count.201211","count.201212","count.201301","count.201302","count.201303","count.201304","count.201305","count.201306","count.201307","count.201308","count.201309","count.201310","count.201311","count.201312","count.201401","count.201402","count.201403","count.201404","count.201405","count.201406","count.201407","count.201408","count.201409","count.201410","count.201411","count.201412","count.201501","count.201502","count.201503","count.201504","count.201505","count.201506","count.201507","count.201508","count.201509","count.201510","count.201511","count.201512"
"541",6,1,4,3,2,3,5,5,1,3,1,0,1,0,2,2,1,2,3,4,2,1,1,1,2,0,2,0,1,1,1,0,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,0,0,0,2,1,2,0,1,1,2,0,2,1,1,0,0,0,0,1,0,0,0,0,0
"542",2,0,4,1,3,3,0,7,2,4,2,1,3,0,1,1,4,3,8,9,5,3,6,2,1,2,1,2,3,2,2,6,3,1,4,2,0,0,3,5,1,2,2,3,4,0,3,1,1,3,2,1,1,1,1,0,1,5,2,3,2,0,3,2,1,0,4,1,0,3,0,3
"543",1,1,0,1,0,1,1,0,0,3,2,2,0,1,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0
"544",1,2,0,1,1,5,1,2,3,6,3,3,3,0,3,2,5,2,4,5,5,1,1,1,1,2,1,2,2,3,3,2,1,0,3,4,2,0,1,0,0,1,1,0,2,2,0,1,1,0,2,4,1,2,3,2,2,3,1,2,2,1,2,1,1,1,3,3,2,1,1,2
"545",0,1,0,3,0,0,0,3,2,3,5,0,1,2,1,1,3,1,0,2,1,3,1,1,2,0,1,0,1,2,2,1,1,1,2,1,1,1,0,0,2,0,2,1,1,2,1,3,0,1,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,1,2,1,0,0,2,1
"546",2,0,6,0,1,1,3,6,1,0,2,2,2,1,1,1,2,0,1,2,2,2,2,0,2,1,2,1,2,2,0,3,2,1,2,1,0,0,0,2,2,1,1,4,2,2,1,0,0,0,0,1,0,0,1,2,1,0,2,0,0,0,0,1,2,0,0,0,1,0,1,3
"547",1,3,1,1,6,2,3,1,3,0,2,2,2,1,2,3,4,6,2,1,2,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,2,1,0,5,2,3,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,2
"548",1,0,4,1,1,3,1,3,3,1,0,3,1,0,3,5,1,3,3,2,3,5,3,5,3,1,1,2,5,4,5,3,4,2,1,1,0,1,2,1,2,4,2,0,3,1,0,0,0,1,0,2,1,0,1,2,1,0,0,0,1,0,0,1,2,1,1,1,0,1,3,0
"549",1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,0,1,0,1,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0
"550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"551",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,0,1,0,1,0,2,1,1,1,0,1,1,3,0,1,1,0,0,1,2,0,1,2,1,0,3,0,0,1,0,0,0,0,1,0,2,1,0,0,0,2,2,2,1,0,0,2,1,2,2,0
"552",0,0,2,0,0,0,1,2,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,2,4,3,0,3,1,1,1,0,0,1,0,0,1,0,0,1,1,2,3,2,1,1,0,8,1,0,1,1,0,1,1,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,3,0
